Matrix Size, Iterations, Threads, Average Runtime
100,10,Serial,0.00303726
100,10,Serial,0.00303493
100,10,Serial,0.00314219
100,10,Serial,0.00306981
100,10,Serial,0.00306337
100,10,Serial,0.0030669
100,10,Serial,0.00305808
100,10,Serial,0.00305493
100,10,Serial,0.0030817
100,10,Serial,0.00305452
100,10,1,0.00303888
100,10,1,0.0030308
100,10,1,0.00302997
100,10,1,0.00303605
100,10,1,0.00304246
100,10,1,0.00303245
100,10,1,0.00302575
100,10,1,0.00332491
100,10,1,0.00301507
100,10,1,0.00300601
20,10,1,3.28064e-05
20,10,1,3.3927e-05
20,10,1,3.34024e-05
20,10,1,3.64304e-05
20,10,1,3.31163e-05
20,10,1,3.52859e-05
20,10,1,3.94106e-05
20,10,1,3.35932e-05
20,10,1,3.4523e-05
20,10,1,3.32594e-05
20,10,1,3.40939e-05
20,10,1,3.39985e-05
20,10,1,3.34024e-05
20,10,1,3.38078e-05
20,10,1,3.43084e-05
20,10,1,3.32117e-05
20,10,1,3.38316e-05
20,10,1,3.38078e-05
20,10,1,3.28064e-05
20,10,1,3.36885e-05
20,10,2,4.18901e-05
20,10,2,6.47783e-05
20,10,2,4.13895e-05
20,10,2,7.80106e-05
20,10,2,4.29869e-05
20,10,2,5.06401e-05
20,10,2,3.72887e-05
20,10,2,4.3416e-05
20,10,2,7.8702e-05
20,10,2,4.31061e-05
20,10,3,7.52211e-05
20,10,3,7.79867e-05
20,10,3,4.03404e-05
20,10,3,7.05004e-05
20,10,3,6.2108e-05
20,10,3,6.15358e-05
20,10,3,4.04596e-05
20,10,3,7.2217e-05
20,10,3,4.11987e-05
20,10,3,5.50032e-05
20,10,4,5.07116e-05
20,10,4,5.45025e-05
20,10,4,4.37498e-05
20,10,4,6.51836e-05
20,10,4,7.45296e-05
20,10,4,4.21047e-05
20,10,4,0.000102401
20,10,4,4.44889e-05
20,10,4,9.17912e-05
20,10,4,4.17233e-05
20,10,5,0.000101519
20,10,5,4.88281e-05
20,10,5,5.08547e-05
20,10,5,6.23226e-05
20,10,5,0.000103569
20,10,5,7.34091e-05
20,10,5,5.40972e-05
20,10,5,8.87156e-05
20,10,5,8.14199e-05
20,10,5,6.26802e-05
20,10,6,9.04083e-05
20,10,6,7.90358e-05
20,10,6,0.000118232
20,10,6,4.98056e-05
20,10,6,0.000113106
20,10,6,9.33886e-05
20,10,6,8.46863e-05
20,10,6,0.000108004
20,10,6,5.00202e-05
20,10,6,0.000125909
20,10,7,0.000108504
20,10,7,0.000129247
20,10,7,0.000157285
20,10,7,0.000118899
20,10,7,0.000130892
20,10,7,8.98123e-05
20,10,7,0.000100374
20,10,7,0.000150132
