Matrix Size,Iterations,OpenMP Threads,MPI Tasks,Average Runtime,Serial == Parallel?
64,10,2,2,0.00355356,1
64,10,2,4,0.00421109,1
64,10,2,8,0.00403393,1
64,10,2,16,0.00621245,1
64,10,2,32,0.00885691,1
64,10,4,2,0.00346116,1
64,10,4,4,0.00348889,1
64,10,4,8,0.00355656,1
64,10,4,16,0.00714012,1
64,10,4,32,0.00916033,1
64,10,6,2,0.00429416,1
64,10,6,4,0.00382717,1
64,10,6,8,0.00402224,1
64,10,6,16,0.0042983,1
64,10,6,32,0.00818802,1
64,10,8,2,0.00379533,1
64,10,8,4,0.00351203,1
64,10,8,8,0.00382587,1
64,10,8,16,0.00684687,1
64,10,8,32,0.0101568,1
64,10,10,2,0.00354099,1
64,10,10,4,0.00366378,1
64,10,10,8,0.00399426,1
64,10,10,16,0.0054663,1
64,10,10,32,0.00984784,1
64,10,12,2,0.0038355,1
64,10,12,4,0.0041273,1
64,10,12,8,0.00325245,1
64,10,12,16,0.00772335,1
64,10,12,32,0.00919841,1
64,10,14,2,0.00354984,1
64,10,14,4,0.0035681,1
64,10,14,8,0.00442117,1
64,10,14,16,0.00780236,1
64,10,14,32,0.00993678,1
64,10,16,2,0.00455414,1
64,10,16,4,0.00411613,1
64,10,16,8,0.00371907,1
64,10,16,16,0.00807289,1
64,10,16,32,0.00952567,1
64,10,18,2,0.00368081,1
64,10,18,4,0.00381462,1
64,10,18,8,0.00382379,1
64,10,18,16,0.00789164,1
64,10,18,32,0.00965026,1
64,10,20,2,0.00387066,1
64,10,20,4,0.0042594,1
64,10,20,8,0.00553953,1
64,10,20,16,0.00761491,1
64,10,20,32,0.0045218,1
64,10,22,2,0.00402501,1
64,10,22,4,0.00458992,1
64,10,22,8,0.00366247,1
64,10,22,16,0.00804495,1
64,10,22,32,0.00958557,1
64,10,24,2,0.00388944,1
64,10,24,4,0.00425399,1
64,10,24,8,0.00449063,1
64,10,24,16,0.00791727,1
64,10,24,32,0.0101862,1
128,10,2,2,0.0150742,1
128,10,2,4,0.012861,1
128,10,2,8,0.0115643,1
128,10,2,16,0.0153373,1
128,10,2,32,0.0104002,1
128,10,4,2,0.016296,1
128,10,4,4,0.0139207,1
128,10,4,8,0.011057,1
128,10,4,16,0.0143743,1
128,10,4,32,0.0166979,1
128,10,6,2,0.0151688,1
128,10,6,4,0.0123574,1
128,10,6,8,0.0115225,1
128,10,6,16,0.0141723,1
128,10,6,32,0.0168521,1
128,10,8,2,0.0150576,1
128,10,8,4,0.0123815,1
128,10,8,8,0.011868,1
128,10,8,16,0.0140192,1
128,10,8,32,0.0148733,1
128,10,10,2,0.015162,1
128,10,10,4,0.0123638,1
128,10,10,8,0.0114101,1
128,10,10,16,0.015516,1
128,10,10,32,0.0161374,1
128,10,12,2,0.0148693,1
128,10,12,4,0.0134444,1
128,10,12,8,0.0107071,1
128,10,12,16,0.0159733,1
128,10,12,32,0.0154949,1
128,10,14,2,0.0158522,1
128,10,14,4,0.0125919,1
128,10,14,8,0.00986972,1
128,10,14,16,0.0150344,1
128,10,14,32,0.0164434,1
128,10,16,2,0.0148899,1
128,10,16,4,0.0141849,1
128,10,16,8,0.0129741,1
128,10,16,16,0.0150482,1
128,10,16,32,0.0164253,1
128,10,18,2,0.0146984,1
128,10,18,4,0.0126158,1
128,10,18,8,0.0126235,1
128,10,18,16,0.0117386,1
128,10,18,32,0.0171511,1
128,10,20,2,0.0140736,1
128,10,20,4,0.0122101,1
128,10,20,8,0.0107744,1
128,10,20,16,0.0164326,1
128,10,20,32,0.0169958,1
128,10,22,2,0.0156737,1
128,10,22,4,0.012917,1
128,10,22,8,0.0112991,1
128,10,22,16,0.0143421,1
128,10,22,32,0.0145138,1
128,10,24,2,0.0148824,1
128,10,24,4,0.0131807,1
128,10,24,8,0.0112379,1
128,10,24,16,0.0142246,1
128,10,24,32,0.0161001,1
1024,10,2,2,4.64045,1
1024,10,2,4,2.82608,1
1024,10,2,8,2.1366,1
1024,10,2,16,1.97491,1
1024,10,2,32,1.49292,1
1024,10,4,2,4.64625,1
1024,10,4,4,2.80676,1
1024,10,4,8,2.15551,1
1024,10,4,16,2.0394,1
1024,10,4,32,1.62343,1
1024,10,6,2,4.62709,1
1024,10,6,4,2.81033,1
1024,10,6,8,2.23005,1
1024,10,6,16,1.93681,1
1024,10,6,32,1.46468,1
1024,10,8,2,4.68693,1
1024,10,8,4,2.92808,1
1024,10,8,8,2.22652,1
1024,10,8,16,1.88605,1
1024,10,8,32,1.39749,1
1024,10,10,2,4.7773,1
1024,10,10,4,3.05073,1
1024,10,10,8,2.04757,1
1024,10,10,16,1.93493,1
1024,10,10,32,2.22374,1
1024,10,12,2,4.60566,1
1024,10,12,4,2.82904,1
1024,10,12,8,2.17994,1
1024,10,12,16,1.68161,1
1024,10,12,32,2.2021,1
1024,10,14,2,4.62533,1
1024,10,14,4,2.80773,1
1024,10,14,8,2.25455,1
1024,10,14,16,1.67347,1
1024,10,14,32,2.26649,1
1024,10,16,2,4.68347,1
1024,10,16,4,2.98226,1
1024,10,16,8,2.1539,1
1024,10,16,16,1.70653,1
1024,10,16,32,1.33198,1
1024,10,18,2,4.92138,1
1024,10,18,4,2.80749,1
1024,10,18,8,2.28653,1
1024,10,18,16,1.69459,1
1024,10,18,32,1.43127,1
1024,10,20,2,4.51158,1
1024,10,20,4,2.82401,1
1024,10,20,8,2.26607,1
1024,10,20,16,1.66379,1
1024,10,20,32,1.41312,1
1024,10,22,2,4.67719,1
1024,10,22,4,2.88822,1
1024,10,22,8,2.25948,1
1024,10,22,16,1.67981,1
1024,10,22,32,1.40873,1
1024,10,24,2,5.15567,1
1024,10,24,4,3.28367,1
1024,10,24,8,2.04556,1
1024,10,24,16,1.67098,1
1024,10,24,32,1.42694,1
