Matrix Size,Iterations,OpenMP Threads,MPI Tasks,Average Runtime,Serial == Parallel?
64,10,2,2,0.00462436,1
64,10,2,4,0.00420402,1
64,10,2,8,0.00515286,1
64,10,2,16,0.00643895,1
64,10,4,2,0.00352564,1
64,10,4,4,0.0037911,1
64,10,4,8,0.00473285,1
64,10,4,16,0.00598413,1
64,10,6,2,0.00358573,1
64,10,6,4,0.00355927,1
64,10,6,8,0.00474169,1
64,10,6,16,0.00645322,1
64,10,8,2,0.00327744,1
64,10,8,4,0.00382519,1
64,10,8,8,0.00488733,1
64,10,8,16,0.00626985,1
64,10,10,2,0.00351986,1
64,10,10,4,0.00356603,1
64,10,10,8,0.00479605,1
64,10,10,16,0.00653924,1
64,10,12,2,0.00313833,1
64,10,12,4,0.00361437,1
64,10,12,8,0.00465311,1
64,10,12,16,0.00668382,1
64,10,14,2,0.00565917,1
64,10,14,4,0.00605778,1
64,10,14,8,0.00704371,1
64,10,14,16,0.00868468,1
64,10,16,2,0.00360151,1
64,10,16,4,0.00623221,1
64,10,16,8,0.00669625,1
64,10,16,16,0.0105704,1
64,10,18,2,0.00572684,1
64,10,18,4,0.00603886,1
64,10,18,8,0.00732052,1
64,10,18,16,0.00830901,1
64,10,20,2,0.00329176,1
64,10,20,4,0.00619911,1
64,10,20,8,0.00685176,1
64,10,20,16,0.0104841,1
64,10,22,2,0.00574265,1
64,10,22,4,0.012755,1
64,10,22,8,0.0215871,1
64,10,22,16,0.0105821,1
64,10,24,2,0.00569049,1
64,10,24,4,0.00625055,1
64,10,24,8,0.0110764,1
64,10,24,16,0.0120041,1
128,10,2,2,0.0120354,1
128,10,2,4,0.0105475,1
128,10,2,8,0.0120844,1
128,10,2,16,0.0137599,1
128,10,4,2,0.0109525,1
128,10,4,4,0.0103875,1
128,10,4,8,0.0134227,1
128,10,4,16,0.0144206,1
128,10,6,2,0.01054,1
128,10,6,4,0.011064,1
128,10,6,8,0.0116073,1
128,10,6,16,0.0136705,1
128,10,8,2,0.00996527,1
128,10,8,4,0.0100115,1
128,10,8,8,0.0106237,1
128,10,8,16,0.0135142,1
128,10,10,2,0.0108009,1
128,10,10,4,0.0103725,1
128,10,10,8,0.0112108,1
128,10,10,16,0.0135726,1
128,10,12,2,0.00994695,1
128,10,12,4,0.00970642,1
128,10,12,8,0.0110258,1
128,10,12,16,0.0132616,1
128,10,14,2,0.0117131,1
128,10,14,4,0.0131124,1
128,10,14,8,0.0136736,1
128,10,14,16,0.0146386,1
128,10,16,2,0.0123455,1
128,10,16,4,0.0121894,1
128,10,16,8,0.013269,1
128,10,16,16,0.015759,1
128,10,18,2,0.0121362,1
128,10,18,4,0.0117833,1
128,10,18,8,0.012593,1
128,10,18,16,0.0156496,1
128,10,20,2,0.012007,1
128,10,20,4,0.0116153,1
128,10,20,8,0.0140836,1
128,10,20,16,0.0165417,1
128,10,22,2,0.0123513,1
128,10,22,4,0.0131569,1
128,10,22,8,0.0131264,1
128,10,22,16,0.0137254,1
128,10,24,2,0.0124678,1
128,10,24,4,0.0124399,1
128,10,24,8,0.0130283,1
128,10,24,16,0.0167893,1
1024,10,2,2,2.69008,1
1024,10,2,4,1.86932,1
1024,10,2,8,1.80942,1
1024,10,2,16,1.91904,1
1024,10,4,2,1.93703,1
1024,10,4,4,1.50565,1
1024,10,4,8,1.39763,1
1024,10,4,16,1.58471,1
1024,10,6,2,1.64834,1
1024,10,6,4,1.40191,1
1024,10,6,8,1.50562,1
1024,10,6,16,1.22742,1
1024,10,8,2,1.55743,1
1024,10,8,4,1.31727,1
1024,10,8,8,1.32476,1
1024,10,8,16,1.22134,1
1024,10,10,2,1.39115,1
1024,10,10,4,1.58734,1
1024,10,10,8,1.29297,1
1024,10,10,16,1.24285,1
1024,10,12,2,1.36542,1
1024,10,12,4,1.42065,1
1024,10,12,8,1.21738,1
1024,10,12,16,1.47844,1
1024,10,14,2,1.50054,1
1024,10,14,4,1.51344,1
1024,10,14,8,1.4584,1
1024,10,14,16,1.16768,1
1024,10,16,2,1.41954,1
1024,10,16,4,1.63273,1
1024,10,16,8,1.35098,1
1024,10,16,16,1.30098,1
1024,10,18,2,1.43366,1
1024,10,18,4,1.49916,1
1024,10,18,8,1.2448,1
1024,10,18,16,1.50384,1
1024,10,20,2,1.35367,1
1024,10,20,4,1.16957,1
1024,10,20,8,1.14032,1
1024,10,20,16,1.27511,1
2048,10,2,2,36.9065,1
1024,10,22,2,1.34017,1
1024,10,22,4,1.24019,1
1024,10,22,8,1.17807,1
1024,10,22,16,1.19192,1
1024,10,24,2,1.53441,1
1024,10,24,4,1.18489,1
1024,10,24,8,1.13093,1
1024,10,24,16,1.26688,1
2048,10,2,4,22.2959,1
2048,10,2,8,16.3202,1
2048,10,2,16,14.2438,1
2048,10,4,2,23.4184,1
2048,10,4,4,16.7034,1
2048,10,4,8,11.8213,1
2048,10,4,16,12.2992,1
2048,10,6,2,18.5888,1
2048,10,6,4,14.7573,1
2048,10,6,8,12.5131,1
2048,10,6,16,11.1697,1
2048,10,8,2,16.8334,1
2048,10,8,4,12.4966,1
2048,10,8,8,12.0638,1
2048,10,8,16,11.1588,1
2048,10,10,2,16.7562,1
2048,10,10,4,12.4647,1
2048,10,10,8,11.0428,1
2048,10,10,16,9.85323,1
2048,10,12,2,13.5413,1
2048,10,12,4,12.4923,1
2048,10,14,2,10.9538,1
2048,10,14,4,9.52244,1
2048,10,14,8,8.7626,1
2048,10,14,16,8.45879,1
2048,10,16,2,10.4352,1
2048,10,16,4,9.21086,1
2048,10,16,8,8.68485,1
2048,10,16,16,8.25084,1
2048,10,18,2,10.242,1
2048,10,18,4,9.1287,1
2048,10,18,8,8.47613,1
2048,10,18,16,8.1127,1
2048,10,20,2,9.93206,1
2048,10,20,4,9.24713,1
2048,10,20,8,8.63828,1
2048,10,20,16,7.90548,1
2048,10,22,2,9.7696,1
2048,10,22,4,9.3094,1
2048,10,22,8,8.6232,1
2048,10,22,16,8.23853,1
2048,10,24,2,9.57974,1
2048,10,24,4,8.85989,1
2048,10,24,8,8.59824,1
2048,10,24,16,8.33302,1
2048,10,12,8,8.59836,1
2048,10,12,16,8.15105,1
64,10,2,2,0.00591642,1
64,10,2,4,0.00379185,1
64,10,2,8,0.00517434,1
64,10,2,16,0.00723534,1
64,10,4,2,0.00391411,1
64,10,4,4,0.00550457,1
64,10,4,8,0.00493476,1
64,10,4,16,0.00653146,1
64,10,6,2,0.0038167,1
64,10,6,4,0.00417542,1
64,10,6,8,0.00472601,1
64,10,6,16,0.00650877,1
