Matrix Size,Iterations,OpenMP Threads,MPI Tasks,Average Runtime,Serial == Parallel?
64,10,2,2,0.00544719,1
64,10,2,4,0.00445216,1
64,10,2,8,0.0052322,1
64,10,2,16,0.00655891,1
64,10,4,2,0.00430269,1
64,10,4,4,0.00586116,1
64,10,4,8,0.0061557,1
64,10,4,16,0.00685558,1
64,10,6,2,0.0047896,1
64,10,6,4,0.00637372,1
64,10,6,8,0.00652216,1
64,10,6,16,0.00626352,1
64,10,8,2,0.00448229,1
64,10,8,4,0.00447811,1
64,10,8,8,0.0049201,1
64,10,8,16,0.00636894,1
64,10,10,2,0.00405194,1
64,10,10,4,0.00418478,1
64,10,10,8,0.00606866,1
64,10,10,16,0.00772218,1
64,10,12,2,0.00381656,1
64,10,12,4,0.00405277,1
64,10,12,8,0.0069671,1
64,10,12,16,0.00785268,1
64,10,14,2,0.00366085,1
64,10,14,4,0.00512916,1
64,10,14,8,0.00620563,1
64,10,14,16,0.00634432,1
64,10,16,2,0.00359143,1
64,10,16,4,0.0041125,1
64,10,16,8,0.00495015,1
64,10,16,16,0.00641265,1
64,10,18,2,0.00392048,1
64,10,18,4,0.00385793,1
64,10,18,8,0.0065529,1
64,10,18,16,0.00941287,1
64,10,20,2,0.0033939,1
64,10,20,4,0.00423508,1
64,10,20,8,0.00486126,1
64,10,20,16,0.00673778,1
64,10,22,2,0.00354957,1
64,10,22,4,0.00746409,1
64,10,22,8,0.00679191,1
64,10,22,16,0.00633413,1
64,10,24,2,0.00622354,1
64,10,24,4,0.00815809,1
64,10,24,8,0.00835524,1
64,10,24,16,0.00779969,1
128,10,2,2,0.0126102,1
128,10,2,4,0.0113475,1
128,10,2,8,0.0541471,1
128,10,2,16,0.042206,1
2048,10,2,2,23.5866,1
128,10,4,2,0.0115396,1
128,10,4,4,0.0118191,1
128,10,4,8,0.0121266,1
128,10,4,16,0.0130309,1
128,10,6,2,0.0111291,1
128,10,6,4,0.0101675,1
128,10,6,8,0.0172887,1
128,10,6,16,0.0151083,1
128,10,8,2,0.0101183,1
128,10,8,4,0.0103372,1
128,10,8,8,0.0105327,1
128,10,8,16,0.0122044,1
128,10,10,2,0.00971564,1
128,10,10,4,0.0118425,1
128,10,10,8,0.0116443,1
128,10,10,16,0.0118733,1
128,10,12,2,0.00931409,1
128,10,12,4,0.0181109,1
128,10,12,8,0.0113186,1
128,10,12,16,0.0126693,1
128,10,14,2,0.00973428,1
128,10,14,4,0.0106395,1
128,10,14,8,0.0129538,1
128,10,14,16,0.0133925,1
128,10,16,2,0.0112761,1
128,10,16,4,0.0112186,1
128,10,16,8,0.0111983,1
128,10,16,16,0.0131245,1
128,10,18,2,0.011159,1
128,10,18,4,0.0105919,1
128,10,18,8,0.0102386,1
128,10,18,16,0.0127085,1
128,10,20,2,0.00979482,1
128,10,20,4,0.0104302,1
128,10,20,8,0.0113165,1
128,10,20,16,0.012589,1
128,10,22,2,0.0097565,1
128,10,22,4,0.0121779,1
128,10,22,8,0.0137373,1
128,10,22,16,0.0137501,1
128,10,24,2,0.0107927,1
128,10,24,4,0.010582,1
128,10,24,8,0.0114239,1
128,10,24,16,0.0126552,1
2048,10,2,4,20.2848,1
2048,10,2,8,13.8034,1
2048,10,2,16,10.7676,1
2048,10,4,2,15.4758,1
2048,10,4,4,14.0609,1
2048,10,4,8,10.9858,1
2048,10,4,16,9.18644,1
2048,10,6,2,12.8159,1
2048,10,6,4,11.6271,1
2048,10,6,8,9.67921,1
2048,10,6,16,8.61139,1
2048,10,8,2,11.6285,1
2048,10,8,4,10.865,1
2048,10,8,8,12.5976,1
2048,10,8,16,8.46539,1
2048,10,10,2,10.8758,1
2048,10,10,4,13.1678,1
2048,10,10,8,9.12935,1
2048,10,10,16,8.31529,1
2048,10,12,2,10.3789,1
2048,10,12,4,9.668,1
2048,10,12,8,8.78958,1
2048,10,12,16,8.21092,1
2048,10,14,2,10.0401,1
2048,10,14,4,9.38534,1
2048,10,14,8,11.288,1
2048,10,14,16,8.01415,1
256,10,2,2,0.0513267,1
256,10,2,4,0.0483325,1
256,10,2,8,0.0378568,1
256,10,2,16,0.037523,1
256,10,4,2,0.0400677,1
256,10,4,4,0.0381972,1
256,10,4,8,0.0368045,1
256,10,4,16,0.0346647,1
256,10,6,2,0.0414116,1
256,10,6,4,0.0469689,1
256,10,6,8,0.0625253,1
256,10,6,16,0.0366958,1
256,10,8,2,0.0381881,1
256,10,8,4,0.0356639,1
256,10,8,8,0.0646931,1
256,10,8,16,0.0364037,1
256,10,10,2,0.0365426,1
256,10,10,4,0.0367432,1
256,10,10,8,0.0364795,1
256,10,10,16,0.0352806,1
256,10,12,2,0.0377497,1
256,10,12,4,0.0344298,1
256,10,12,8,0.0456274,1
256,10,12,16,0.0550707,1
256,10,14,2,0.0357398,1
256,10,14,4,0.245107,1
256,10,14,8,0.0825067,1
256,10,14,16,0.0723257,1
2048,10,16,2,15.0986,1
256,10,16,2,0.0540685,1
256,10,16,4,0.0393877,1
256,10,16,8,0.048463,1
256,10,16,16,0.0879298,1
256,10,18,2,0.0377693,1
256,10,18,4,0.0557988,1
256,10,18,8,0.079716,1
256,10,18,16,0.0568043,1
256,10,20,2,0.0393615,1
256,10,20,4,0.0566445,1
256,10,20,8,0.0567888,1
256,10,20,16,0.0646251,1
256,10,22,2,0.0565265,1
256,10,22,4,0.056722,1
256,10,22,8,0.0568383,1
256,10,22,16,0.0567796,1
256,10,24,2,0.0576269,1
256,10,24,4,0.0883752,1
256,10,24,8,0.0740984,1
256,10,24,16,0.0576279,1
512,10,2,2,0.341316,1
512,10,2,4,0.253113,1
512,10,2,8,0.228998,1
512,10,2,16,0.190461,1
512,10,4,2,0.276426,1
512,10,4,4,1.0522,1
512,10,4,8,0.208362,1
512,10,4,16,0.182854,1
2048,10,16,4,14.0192,1
512,10,6,2,0.268076,1
512,10,6,4,0.193005,1
512,10,6,8,0.184262,1
512,10,6,16,0.18053,1
512,10,8,2,0.210674,1
512,10,8,4,0.194405,1
512,10,8,8,0.178669,1
512,10,8,16,0.171339,1
512,10,10,2,0.202065,1
512,10,10,4,0.178712,1
512,10,10,8,0.177839,1
512,10,10,16,0.176755,1
512,10,12,2,0.198039,1
512,10,12,4,0.180085,1
512,10,12,8,0.182251,1
512,10,12,16,0.185156,1
512,10,14,2,0.192341,1
512,10,14,4,0.186221,1
512,10,14,8,0.185096,1
512,10,14,16,0.188509,1
512,10,16,2,0.187701,1
512,10,16,4,0.175846,1
512,10,16,8,0.189718,1
512,10,16,16,0.176562,1
512,10,18,2,0.203276,1
512,10,18,4,0.190196,1
512,10,18,8,0.186271,1
512,10,18,16,0.184321,1
512,10,20,2,0.345375,1
512,10,20,4,0.196364,1
512,10,20,8,0.190189,1
2048,10,16,8,12.0314,1
512,10,20,16,0.207498,1
512,10,22,2,0.210476,1
512,10,22,4,0.217042,1
512,10,22,8,0.205163,1
512,10,22,16,0.199577,1
512,10,24,2,0.193144,1
512,10,24,4,0.194367,1
512,10,24,8,0.192512,1
512,10,24,16,0.19534,1
1024,10,2,2,2.66248,1
1024,10,2,4,1.91836,1
1024,10,2,8,1.62262,1
1024,10,2,16,1.39483,1
2048,10,16,16,11.5227,1
1024,10,4,2,1.87299,1
1024,10,4,4,1.47128,1
1024,10,4,8,1.25873,1
1024,10,4,16,1.17664,1
1024,10,6,2,1.59659,1
1024,10,6,4,1.46777,1
1024,10,6,8,1.19013,1
1024,10,6,16,1.4462,1
2048,10,18,2,15.2671,1
1024,10,8,2,1.48146,1
1024,10,8,4,1.26134,1
1024,10,8,8,1.17398,1
1024,10,8,16,1.11965,1
1024,10,10,2,1.36929,1
1024,10,10,4,1.20827,1
1024,10,10,8,1.13981,1
2048,10,18,4,12.6822,1
1024,10,10,16,1.1203,1
1024,10,12,2,1.39916,1
1024,10,12,4,1.18229,1
1024,10,12,8,1.11516,1
1024,10,12,16,1.11381,1
1024,10,14,2,1.2568,1
1024,10,14,4,1.13105,1
1024,10,14,8,1.09793,1
2048,10,18,8,11.9135,1
1024,10,14,16,1.07548,1
1024,10,16,2,1.24722,1
1024,10,16,4,1.16826,1
1024,10,16,8,1.14774,1
1024,10,16,16,1.14238,1
1024,10,18,2,1.25969,1
